rank,team,sp_plus,fpi,elo,returning_prod,talent,epa_net,sp_plus_norm,fpi_norm,elo_norm,returning_norm,talent_norm,epa_norm,composite,offense.rating,defense.rating,coaching_flag,sagarin,sagarin_norm
1,Ohio State,32.7,28.676,1946.6,0.683,,,32.7,28.676,14.886666666666663,5.294705882352942,0.0,0.0,24.63056612163091,41.0,8.4,,103.07,18.101352246272413
2,Oregon,29.2,25.276,1899.7,0.753,,,29.2,25.276,13.323333333333334,6.694705882352942,0.0,0.0,22.25433639617837,41.1,12.2,,101.74,17.414247433609365
3,Notre Dame,26.5,25.856,2020.1,0.512,,,26.5,25.856,17.336666666666662,1.8747058823529417,0.0,0.0,21.6972973008138,40.6,14.3,,101.0,17.031948515285563
4,Georgia,26.4,24.837,1889.9,0.687,,,26.4,24.837,12.99666666666667,5.374705882352942,0.0,0.0,20.729011005471808,38.7,12.9,,97.38,15.161783536458314
5,Texas,22.8,26.914,1798.2,0.721,,,22.8,26.914,9.940000000000001,6.054705882352941,0.0,0.0,20.36472287953711,37.3,14.9,,98.5,15.74039811554299
6,Indiana,25.8,23.14,2092.2,0.166,,,25.8,23.14,19.739999999999995,-5.0452941176470585,0.0,0.0,20.333316363781158,37.8,12.5,,100.44,16.742641225743228
7,Miami,22.0,21.834,1859.8,0.369,,,22.0,21.834,11.993333333333332,-0.9852941176470587,0.0,0.0,17.86016122076252,35.0,13.3,,95.73,14.309360272628219
8,Texas Tech,21.8,20.016,1889.2,0.534,,,21.8,20.016,12.973333333333334,2.314705882352942,0.0,0.0,16.99641523236521,36.6,15.0,,92.08,12.423696689004057
9,Texas A&M,20.9,20.002,1760.4,0.728,,,20.9,20.002,8.680000000000003,6.194705882352941,0.0,0.0,16.679837149488645,37.6,16.4,,92.87,12.831826615322713
10,LSU,20.4,20.034,1622.5,0.212,,,20.4,20.034,4.083333333333333,-4.125294117647059,0.0,0.0,15.603656212455995,32.6,12.4,New HC: Lane Kiffin (experienced_hc) | adj=+2.0pts,92.31,12.542519325780376
11,Alabama,17.6,20.126,1749.9,0.264,,,17.6,20.126,8.330000000000004,-3.0852941176470585,0.0,0.0,15.181078506441791,31.0,13.0,,91.76,12.258378237837011
12,Oklahoma,18.8,17.782,1717.0,0.632,,,18.8,17.782,7.233333333333333,4.274705882352942,0.0,0.0,15.079235964768067,32.1,13.7,,92.66,12.723336381744334
13,USC,17.7,16.982,1759.7,0.592,,,17.7,16.982,8.656666666666668,3.474705882352941,0.0,0.0,14.502591592087192,38.0,19.9,,92.11,12.439195293800969
14,Ole Miss,16.5,16.029,1856.3,0.503,,,16.5,16.029,11.876666666666665,1.6947058823529415,0.0,0.0,13.895941107372263,35.2,19.4,New HC: Pete Golding (first_time_hc) | adj=-2.5pts,91.18,11.958738545096734
15,Michigan,17.0,15.875,1700.2,0.692,,,17.0,15.875,6.673333333333335,5.47470588235294,0.0,0.0,13.827514559219097,33.2,15.8,New HC: Kyle Wittingham (experienced_hc) | adj=+1.5pts,91.82,12.289375447430826
16,Tennessee,17.3,15.058,1700.9,0.353,,,17.3,15.058,6.69666666666667,-1.305294117647059,0.0,0.0,12.842897999990566,39.3,22.4,,87.9,10.264224420634477
17,Penn State,16.2,13.716,1817.8,0.076,,,16.2,13.716,10.593333333333332,-6.845294117647058,0.0,0.0,12.074926917584882,33.9,18.3,New HC: Matt Campbell (experienced_hc) | adj=+0.5pts,87.68,10.15056798545713
18,Florida,15.2,13.575,1565.1,0.691,,,15.2,13.575,2.169999999999997,5.454705882352941,0.0,0.0,11.712851231009003,30.4,15.8,New HC: Jon Sumrall (experienced_hc) | adj=+2.5pts,87.91,10.269390622233441
19,BYU,14.9,13.125,1675.0,0.785,,,14.9,13.125,5.833333333333333,7.334705882352942,0.0,0.0,11.416294364835794,32.9,18.3,,84.02,8.259738200233995
20,Missouri,15.4,12.18,1675.0,0.42,,,15.4,12.18,5.833333333333333,0.03470588235294114,0.0,0.0,10.969654542606046,32.3,16.4,,84.98,8.755693553735147
21,Washington,15.8,9.893,1756.2,0.544,,,15.8,9.893,8.540000000000001,2.514705882352942,0.0,0.0,10.922927429159346,33.0,17.0,,87.63,10.124736977462273
