team,elo
Indiana,1920.8
Notre Dame,1870.5
Ohio State,1814.3
Oregon,1785.4
Georgia,1780.9
Texas Tech,1778.4
Ole Miss,1757.9
Miami,1756.1
Utah,1742.7
Penn State,1732.5
Texas,1724.4
Iowa,1719.5
James Madison,1704.2
USC,1700.9
Vanderbilt,1698.5
Alabama,1691.5
Texas A&M,1691.1
Washington,1690.1
SMU,1680.6
Tennessee,1660.3
Oklahoma,1658.1
Missouri,1644.1
Michigan,1643.4
South Florida,1641.2
BYU,1639.7
LSU,1620.0
Kansas State,1613.7
Louisville,1613.5
Arizona,1612.5
UTSA,1605.6
Virginia,1605.3
Old Dominion,1604.7
South Carolina,1602.5
North Texas,1596.1
Clemson,1590.7
Auburn,1588.5
Iowa State,1585.6
Arizona State,1582.2
Duke,1579.7
Pittsburgh,1575.3
Army,1572.7
Valdosta State,1567.9
North Dakota,1565.5
Grambling,1565.1
Virginia State,1564.1
Illinois State,1564.1
Alabama State,1563.5
South Carolina State,1563.2
North Dakota State,1562.7
Minnesota St Moorhead,1562.1
Mercer,1560.7
Northwestern,1560.0
Arkansas,1558.2
TCU,1558.0
Navy,1557.8
Saginaw Valley State,1557.8
Florida,1557.6
Northern State,1557.2
Nebraska,1556.4
Illinois,1556.0
South Dakota,1555.2
Memphis,1554.6
Elon,1554.1
Jackson State,1552.9
Idaho State,1551.6
Tennessee Tech,1551.2
Wofford,1550.9
Incarnate Word,1550.3
Montana,1550.1
Richmond,1550.1
Benedict,1550.0
Davenport,1549.7
American International,1549.6
CSU Pueblo,1548.8
UNLV,1547.1
Valparaiso,1547.0
South Dakota Mines,1547.0
Montana State,1546.2
Carson Newman,1546.1
Ferris State,1546.0
Robert Morris,1546.0
Grand Valley State,1545.1
Tarleton State,1544.9
Michigan Tech,1544.8
Fayetteville State,1544.0
Stephen F. Austin,1543.5
Toledo,1543.4
Northeastern State,1542.4
Colgate,1541.7
Minnesota,1540.7
Boise State,1540.5
Dayton,1539.5
Black Hills State,1539.0
Campbell,1538.3
San Diego State,1538.1
William & Mary,1536.6
Western Illinois,1536.4
Texas State,1536.2
Cal Poly,1536.0
Lincoln (MO),1535.5
Harding,1534.4
Concord,1534.3
Brockport,1533.5
Lenoir Rhyne,1533.4
Wisconsin River Falls,1533.3
Florida State,1533.2
Clarion,1533.2
Kansas,1533.0
Lake Forest,1532.9
Wisconsin Whitewater,1532.8
Alfred State,1532.7
Saint Vincent,1531.7
Georgia Tech,1531.6
Lehigh,1531.0
UC Davis,1531.0
Western Oregon,1531.0
Mass Maritime,1531.0
Minnesota State,1530.5
Emporia State,1530.4
Wayne State (NE),1530.4
Ohio Wesleyan,1530.3
Roosevelt,1530.0
