year,team,conference,fpi,resumeRanks.strengthOfRecord,resumeRanks.fpi,resumeRanks.averageWinProbability,resumeRanks.strengthOfSchedule,resumeRanks.remainingStrengthOfSchedule,resumeRanks.gameControl,efficiencies.overall,efficiencies.offense,efficiencies.defense,efficiencies.specialTeams
2026,UAB,American Athletic,-14.476,27,127,35,102,116,29,36.179,56.132,10.145,61.301
2026,South Alabama,Sun Belt,-10.531,0,111,0,111,108,0,,,,
2026,Arkansas,SEC,4.396,0,48,0,1,2,0,,,,
2026,Arizona State,Big 12,4.76,0,46,0,29,31,0,,,,
2026,Arizona,Big 12,7.155,0,34,0,57,58,0,,,,
2026,San Diego State,Pac-12,1.426,0,58,0,107,105,0,,,,
2026,California,ACC,0.884,0,62,0,62,64,0,,,,
2026,Colorado,Big 12,4.957,1,42,28,49,51,18,63.813,62.024,78.907,15.178
2026,Delaware,Conference USA,-4.536,22,84,11,94,87,17,58.233,65.073,54.544,36.422
2026,Jacksonville State,Conference USA,-14.095,27,126,33,132,134,35,19.75,11.753,45.201,27.145
2026,South Florida,American Athletic,-0.949,0,71,0,124,121,0,,,,
2026,Georgia Tech,ACC,3.507,27,54,20,34,33,15,66.558,44.44,63.362,85.236
2026,Georgia,SEC,24.837,0,5,0,20,22,0,,,,
2026,Boise State,Pac-12,4.045,0,50,0,73,72,0,,,,
2026,Iowa State,Big 12,-0.943,0,70,0,56,57,0,,,,
2026,Massachusetts,Mid-American,-10.987,7,112,14,138,138,2,82.506,68.56,80.595,71.474
2026,Maryland,Big Ten,1.024,0,61,0,33,36,0,,,,
2026,Michigan State,Big Ten,1.252,8,60,19,30,25,14,62.724,46.918,43.111,95.545
2026,Ole Miss,SEC,16.029,0,14,0,6,7,0,,,,
2026,Duke,ACC,3.547,0,53,0,44,46,0,,,,
2026,Wake Forest,ACC,3.857,14,52,5,53,45,7,67.4,70.04,55.875,56.557
2026,Rutgers,Big Ten,-6.901,27,94,36,31,26,40,10.499,14.338,20.59,28.832
2026,New Mexico,Mountain West,-3.531,0,77,0,89,89,0,,,,
2026,Bowling Green,Mid-American,-13.682,0,124,0,104,103,0,,,,
2026,Miami (OH),Mid-American,-6.994,0,95,0,112,111,0,,,,
2026,Oklahoma State,Big 12,3.345,0,55,0,45,47,0,,,,
2026,Oregon State,Pac-12,-8.101,0,100,0,75,74,0,,,,
2026,Temple,American Athletic,-8.6,0,102,0,91,91,0,,,,
2026,Pittsburgh,ACC,6.616,0,36,0,52,53,0,,,,
2026,Vanderbilt,SEC,8.986,0,30,0,18,20,0,,,,
2026,Rice,American Athletic,-13.439,0,123,0,76,75,0,,,,
2026,Houston,Big 12,7.12,0,35,0,58,59,0,,,,
2026,Utah,Big 12,10.563,16,26,6,65,62,10,87.792,85.791,82.844,51.285
2026,James Madison,Sun Belt,-2.026,0,75,0,125,122,0,,,,
2026,Washington State,Pac-12,-4.054,0,80,0,77,76,0,,,,
2026,Wisconsin,Big Ten,4.818,0,45,0,41,41,0,,,,
2026,Marshall,Sun Belt,-8.786,0,104,0,103,101,0,,,,
2026,West Virginia,Big 12,0.197,0,64,0,48,49,0,,,,
2026,Louisiana,Sun Belt,-8.278,0,101,0,99,96,0,,,,
2026,Coastal Carolina,Sun Belt,-12.093,0,116,0,123,120,0,,,,
2026,Texas State,Pac-12,-4.26,0,81,0,69,69,0,,,,
2026,Utah State,Pac-12,-6.707,0,92,0,74,73,0,,,,
2026,Alabama,SEC,20.126,0,8,0,15,16,0,,,,
