team,fpi_proj_wins,fpi_win_conf_pct,fpi_playoff_pct,fpi_make_nc_pct,fpi_win_nc_pct
Ohio State,10.2,38.8,75.7,28.2,17.1
Texas,9.8,29.7,69.9,22.8,13.2
Notre Dame,10.7,0.0,74.4,19.7,10.5
Oregon,10.2,24.2,64.7,17.7,9.8
Georgia,9.9,22.9,63.7,17.3,9.0
Indiana,10.1,18.7,57.0,12.8,6.6
Miami,10.4,48.4,61.4,11.6,5.4
Alabama,8.6,10.4,41.3,8.1,3.7
LSU,8.4,8.9,39.7,7.5,3.5
Texas Tech,8.4,8.4,39.1,7.3,3.4
Texas A&M,7.5,5.3,28.2,4.5,2.0
Oklahoma,8.2,5.1,27.7,3.9,1.7
USC,7.3,3.8,22.8,3.1,1.3
Ole Miss,7.8,3.8,23.2,3.0,1.2
Michigan,7.3,3.3,20.5,2.5,1.0
Tennessee,9.0,4.5,22.0,2.0,0.8
Penn State,6.7,2.0,15.2,1.7,0.7
Florida,8.1,9.5,21.1,1.9,0.7
Clemson,8.7,16.5,25.7,2.2,0.7
BYU,6.7,1.6,12.1,1.2,0.5
Missouri,6.6,1.4,12.0,1.2,0.4
Auburn,6.4,1.3,10.7,1.0,0.4
South Carolina,8.3,11.1,18.5,1.2,0.4
SMU,7.6,1.7,11.8,0.8,0.3
Iowa,7.0,1.0,9.4,0.7,0.2
Washington,7.6,8.1,13.8,0.6,0.2
Louisville,6.7,3.2,9.2,0.6,0.2
Florida State,6.2,0.7,6.8,0.5,0.2
Vanderbilt,6.7,0.7,7.3,0.4,0.1
Nebraska,7.7,5.9,11.1,0.6,0.2
Utah,7.7,4.6,9.3,0.4,0.1
Virginia,7.0,3.2,7.3,0.3,0.1
Virginia Tech,7.3,4.2,7.8,0.3,0.1
Arizona,7.4,4.1,7.9,0.4,0.1
Houston,7.1,2.8,6.5,0.3,0.1
Pittsburgh,6.6,3.2,6.0,0.2,0.1
Baylor,6.8,4.0,6.9,0.3,0.1
TCU,6.8,4.0,6.9,0.3,0.1
Illinois,6.7,0.5,4.7,0.3,0.1
Kentucky,4.6,0.2,2.1,0.1,0.0
Kansas State,7.0,3.1,5.7,0.2,0.0
North Carolina,5.8,1.3,3.2,0.1,0.0
Wisconsin,6.5,0.6,3.4,0.1,0.0
Arizona State,6.0,2.3,4.0,0.1,0.0
Colorado,6.0,2.5,4.3,0.2,0.1
Cincinnati,6.4,2.1,4.0,0.1,0.0
Arkansas,4.3,0.1,1.7,0.1,0.0
Georgia Tech,5.8,1.5,3.3,0.2,0.0
Mississippi State,4.6,0.1,1.7,0.1,0.0
Boise State,7.8,36.4,11.0,0.2,0.0
NC State,6.7,2.1,4.0,0.1,0.0
Duke,6.0,1.4,3.0,0.1,0.0
Wake Forest,6.3,1.4,3.0,0.1,0.0
Oklahoma State,6.0,1.9,3.2,0.2,0.1
Kansas,6.0,1.5,2.7,0.1,0.0
Tulane,8.2,24.8,7.5,0.1,0.0
UCF,6.1,1.7,2.9,0.1,0.0
UNLV,9.0,35.3,8.6,0.1,0.0
San Diego State,7.5,25.1,7.4,0.1,0.0
Northwestern,4.9,0.1,1.0,0.0,0.0
Maryland,5.4,0.1,1.3,0.0,0.0
California,5.6,0.8,1.7,0.0,0.0
Minnesota,5.3,0.1,0.9,0.0,0.0
UCLA,5.1,0.1,1.0,0.0,0.0
Michigan State,4.6,0.1,0.7,0.0,0.0
West Virginia,5.4,0.7,1.4,0.0,0.0
Rutgers,5.1,0.1,0.8,0.0,0.0
East Carolina,8.0,14.5,4.8,0.0,0.0
Navy,7.9,18.9,4.8,0.0,0.0
Syracuse,4.8,0.5,0.9,0.0,0.0
Purdue,4.3,0.1,0.5,0.0,0.0
Iowa State,5.1,0.5,1.0,0.0,0.0
South Florida,8.4,10.9,5.3,0.0,0.0
Memphis,7.0,8.6,3.2,0.0,0.0
James Madison,8.2,19.8,4.2,0.0,0.0
Hawai'i,7.9,21.8,3.7,0.0,0.0
Fresno State,6.2,11.4,2.8,0.0,0.0
Boston College,4.0,0.1,0.4,0.0,0.0
Toledo,8.4,25.7,4.0,0.0,0.0
Stanford,3.9,0.2,0.3,0.0,0.0
New Mexico,7.7,16.4,3.0,0.0,0.0
Western Michigan,7.7,21.8,2.6,0.0,0.0
Washington State,5.1,8.3,1.4,0.0,0.0
Texas State,5.6,8.6,1.9,0.0,0.0
Old Dominion,7.3,14.0,2.2,0.0,0.0
Western Kentucky,7.2,24.8,2.0,0.0,0.0
Southern Miss,6.9,13.0,1.5,0.0,0.0
UTSA,6.4,5.6,1.5,0.0,0.0
Army,6.4,5.0,1.5,0.0,0.0
North Texas,6.2,5.7,1.0,0.0,0.0
Delaware,6.9,16.7,1.2,0.0,0.0
Utah State,4.7,4.7,0.7,0.0,0.0
Air Force,7.2,10.1,1.4,0.0,0.0
Miami (OH),7.2,14.1,1.2,0.0,0.0
Troy,6.6,8.1,0.9,0.0,0.0
Liberty,7.4,14.4,1.3,0.0,0.0
Ohio,7.1,11.5,1.2,0.0,0.0
Oregon State,4.4,4.2,0.5,0.0,0.0
Louisiana,6.9,8.3,1.1,0.0,0.0
North Dakota State,6.6,6.5,0.9,0.0,0.0
Jacksonville State,7.0,12.8,1.0,0.0,0.0
Temple,5.5,1.8,0.5,0.0,0.0
Georgia Southern,5.7,5.9,0.5,0.0,0.0
Marshall,6.5,5.8,0.7,0.0,0.0
Tulsa,5.7,2.0,0.4,0.0,0.0
Kennesaw State,6.5,11.4,0.8,0.0,0.0
Arkansas State,6.3,6.4,0.6,0.0,0.0
Louisiana Tech,5.6,5.5,0.4,0.0,0.0
App State,6.1,5.1,0.5,0.0,0.0
Missouri State,5.7,8.4,0.4,0.0,0.0
Sacramento State,6.7,7.6,0.6,0.0,0.0
South Alabama,5.4,4.3,0.3,0.0,0.0
Buffalo,6.6,6.0,0.6,0.0,0.0
UConn,4.8,0.0,0.1,0.0,0.0
Florida Atlantic,5.1,1.0,0.2,0.0,0.0
Nevada,4.8,2.8,0.2,0.0,0.0
Coastal Carolina,5.2,2.5,0.2,0.0,0.0
Colorado State,3.6,1.3,0.1,0.0,0.0
Florida International,5.9,5.1,0.3,0.0,0.0
Central Michigan,5.6,4.4,0.2,0.0,0.0
Wyoming,5.4,2.6,0.2,0.0,0.0
Rice,4.0,0.5,0.1,0.0,0.0
Bowling Green,4.7,3.0,0.1,0.0,0.0
San José State,5.0,1.9,0.1,0.0,0.0
Northern Illinois,4.3,1.5,0.1,0.0,0.0
Charlotte,3.9,0.4,0.1,0.0,0.0
Georgia State,4.6,1.0,0.1,0.0,0.0
UAB,4.0,0.2,0.0,0.0,0.0
New Mexico State,4.4,2.9,0.1,0.0,0.0
Middle Tennessee,4.7,2.3,0.1,0.0,0.0
Eastern Michigan,4.8,1.6,0.1,0.0,0.0
UTEP,4.1,1.0,0.0,0.0,0.0
Akron,4.4,1.5,0.0,0.0,0.0
Ball State,4.2,1.2,0.1,0.0,0.0
Kent State,3.8,1.0,0.0,0.0,0.0
Sam Houston,3.9,1.2,0.0,0.0,0.0
Massachusetts,4.9,0.8,0.1,0.0,0.0
UL Monroe,3.4,0.3,0.0,0.0,0.0
