ranking,team,rating,year,offense.rating,defense.rating,offense.ranking,defense.ranking
1,Ohio State,31.8,2026,37.6,7.7,13.0,1.0
2,Oregon,28.3,2026,38.7,13.5,10.0,5.0
3,Notre Dame,25.8,2026,40.0,16.3,4.0,13.0
4,Georgia,25.5,2026,37.0,14.8,14.0,8.0
5,Indiana,24.5,2026,40.8,9.9,2.0,2.0
6,Texas,23.7,2026,32.9,17.9,30.0,18.0
7,Texas Tech,23.1,2026,39.3,12.3,7.0,3.0
8,Miami,21.0,2026,34.2,14.3,22.0,7.0
9,Texas A&M,20.3,2026,38.0,16.4,11.0,14.0
10,LSU,20.2,2026,25.8,16.1,75.0,11.0
11,Alabama,18.2,2026,32.2,16.1,36.0,11.0
12,Oklahoma,17.2,2026,30.1,12.9,51.0,4.0
13,USC,16.8,2026,38.9,21.0,9.0,36.0
14,Michigan,16.1,2026,30.9,17.0,48.0,15.0
15,Tennessee,16.0,2026,39.3,25.4,7.0,63.0
16,Ole Miss,15.9,2026,40.4,18.3,3.0,20.0
17,Penn State,15.7,2026,35.1,18.8,17.0,22.0
18,BYU,15.5,2026,33.9,18.8,24.0,22.0
19,Florida,14.9,2026,24.5,22.6,89.0,43.0
20,Missouri,14.8,2026,31.2,15.4,47.0,10.0
21,Washington,14.5,2026,34.5,15.3,20.0,9.0
22,Iowa,13.6,2026,32.1,14.2,37.0,6.0
23,Clemson,12.8,2026,27.5,18.9,65.0,24.0
24,South Carolina,12.1,2026,24.6,20.2,86.0,31.0
25,Utah,11.9,2026,39.7,17.5,6.0,17.0
26,Auburn,11.2,2026,28.3,17.4,59.0,16.0
27,Louisville,11.0,2026,31.6,19.8,39.0,29.0
28,SMU,10.9,2026,34.2,19.5,22.0,25.0
29,Kansas State,10.4,2026,31.3,25.0,46.0,58.0
30,Arizona,10.2,2026,33.0,19.5,29.0,25.0
31,Vanderbilt,10.0,2026,39.9,21.4,5.0,39.0
32,Virginia Tech,9.4,2026,21.4,30.8,109.0,96.0
33,Illinois,9.3,2026,33.3,21.7,27.0,41.0
34,TCU,9.1,2026,32.9,23.9,30.0,50.0
35,Florida State,8.8,2026,29.3,21.2,54.0,38.0
36,Houston,8.2,2026,31.5,23.0,44.0,46.0
37,Nebraska,7.7,2026,28.8,22.7,56.0,44.0
38,Oklahoma State,7.1,2026,15.2,31.6,131.0,100.0
39,Boise State,6.8,2026,29.1,25.1,55.0,60.0
40,Virginia,6.6,2026,28.8,18.1,56.0,19.0
41,Pittsburgh,6.5,2026,31.6,23.5,39.0,47.0
42,Arizona State,6.4,2026,28.3,22.7,59.0,44.0
43,Georgia Tech,6.0,2026,32.5,24.9,34.0,57.0
44,Duke,5.7,2026,34.8,29.2,19.0,86.0
45,Minnesota,5.2,2026,23.8,20.8,94.0,33.0
46,UCLA,5.1,2026,21.7,30.4,105.0,94.0
47,Arkansas,5.0,2026,35.8,31.4,16.0,99.0
48,NC State,4.9,2026,31.4,25.5,45.0,64.0
49,Northwestern,4.6,2026,24.4,20.0,90.0,30.0
50,Cincinnati,4.5,2026,30.2,26.4,50.0,67.0
51,Baylor,4.5,2026,32.8,33.3,32.0,110.0
52,Mississippi State,3.9,2026,31.6,29.0,39.0,84.0
53,Kentucky,3.8,2026,25.5,23.7,80.0,48.0
54,North Carolina,3.8,2026,17.2,25.0,123.0,58.0
55,Maryland,3.8,2026,24.4,24.7,90.0,55.0
56,California,3.7,2026,25.6,27.9,77.0,72.0
57,Kansas,3.7,2026,30.9,28.5,48.0,76.0
58,Wake Forest,3.6,2026,26.6,20.9,70.0,34.0
59,UNLV,2.8,2026,33.8,29.8,25.0,89.0
60,UCF,2.3,2026,23.2,24.0,98.0,51.0
61,Wisconsin,1.8,2026,17.4,20.9,122.0,34.0
62,Rutgers,1.8,2026,31.6,30.7,39.0,95.0
63,Navy,1.1,2026,33.6,27.9,26.0,72.0
64,Iowa State,1.0,2026,28.1,19.5,63.0,25.0
65,Colorado,0.9,2026,22.6,29.5,103.0,88.0
66,West Virginia,0.8,2026,22.8,30.0,102.0,91.0
67,Michigan State,0.4,2026,26.6,28.7,70.0,81.0
68,New Mexico,-0.5,2026,25.4,26.1,82.0,66.0
69,Syracuse,-0.7,2026,18.8,33.0,115.0,106.0
70,Memphis,-1.1,2026,34.3,28.3,21.0,75.0
71,San Diego State,-1.3,2026,24.4,19.6,90.0,28.0
72,North Dakota State,-1.4,2026,,,,
73,UTSA,-1.5,2026,33.3,30.0,27.0,91.0
74,Boston College,-1.5,2026,23.3,33.1,97.0,107.0
75,Stanford,-1.9,2026,18.4,28.6,117.0,78.0
76,East Carolina,-2.0,2026,32.6,24.0,33.0,51.0
77,James Madison,-2.1,2026,34.9,21.4,18.0,39.0
78,Fresno State,-2.3,2026,23.0,21.1,100.0,37.0
79,Air Force,-2.4,2026,28.3,31.7,59.0,101.0
80,South Florida,-2.8,2026,37.7,25.3,12.0,62.0
81,Miami (OH),-2.9,2026,19.3,24.2,114.0,54.0
82,Purdue,-2.9,2026,21.9,29.9,104.0,90.0
83,Army,-3.0,2026,24.7,24.1,85.0,53.0
84,Hawaii,-3.9,2026,27.3,27.3,66.0,69.0
85,Washington State,-5.3,2026,24.6,20.5,86.0,32.0
86,Western Kentucky,-5.3,2026,28.8,28.6,56.0,78.0
87,Tulane,-5.5,2026,32.4,27.6,35.0,71.0
88,Old Dominion,-5.8,2026,31.6,23.7,39.0,48.0
89,Texas State,-5.9,2026,36.6,34.6,15.0,117.0
90,Troy,-6.0,2026,23.6,29.0,95.0,84.0
91,Oregon State,-6.3,2026,17.0,30.8,125.0,96.0
92,Marshall,-6.4,2026,29.6,34.8,52.0,118.0
93,Liberty,-6.4,2026,24.6,32.8,86.0,103.0
94,Florida Atlantic,-7.1,2026,27.8,38.1,64.0,131.0
95,Western Michigan,-7.2,2026,21.7,21.8,105.0,42.0
96,Tulsa,-7.6,2026,21.7,33.1,105.0,107.0
97,Utah State,-7.7,2026,29.5,31.2,53.0,98.0
98,Jacksonville State,-7.7,2026,27.2,32.4,67.0,102.0
99,Colorado State,-8.3,2026,17.6,32.9,120.0,105.0
100,Louisiana Tech,-8.3,2026,25.6,27.0,77.0,68.0
101,Arkansas State,-8.5,2026,24.4,33.5,90.0,111.0
102,Temple,-8.7,2026,27.1,33.2,68.0,109.0
103,Georgia Southern,-8.9,2026,28.3,37.7,59.0,130.0
104,Louisiana,-9.1,2026,25.3,34.0,84.0,113.0
105,Kennesaw State,-9.3,2026,26.4,30.2,72.0,93.0
106,Wyoming,-9.6,2026,15.3,24.7,129.0,55.0
107,UConn,-11.2,2026,32.0,28.5,38.0,76.0
108,Toledo,-11.5,2026,25.8,18.5,75.0,21.0
109,North Texas,-11.8,2026,43.1,28.6,1.0,78.0
110,Buffalo,-11.9,2026,18.2,27.4,118.0,70.0
111,Appalachian State,-12.1,2026,23.0,35.2,100.0,122.0
112,Nevada,-12.2,2026,14.2,28.7,133.0,81.0
113,Central Michigan,-12.4,2026,17.6,25.7,120.0,65.0
114,Delaware,-13.0,2026,26.2,36.2,73.0,126.0
115,Bowling Green,-13.3,2026,15.4,28.8,128.0,83.0
116,South Alabama,-13.3,2026,25.4,36.0,82.0,125.0
117,Ohio,-13.6,2026,23.2,25.2,98.0,61.0
118,Florida International,-13.7,2026,26.1,35.8,74.0,124.0
119,Coastal Carolina,-13.8,2026,23.4,37.0,96.0,128.0
120,Rice,-14.7,2026,17.7,33.9,119.0,112.0
121,Eastern Michigan,-15.0,2026,19.4,34.1,113.0,114.0
122,San José State,-15.5,2026,21.6,34.4,108.0,115.0
123,New Mexico State,-16.4,2026,19.7,34.9,112.0,120.0
124,UAB,-18.1,2026,25.5,39.8,80.0,132.0
125,Northern Illinois,-18.2,2026,12.0,28.1,135.0,74.0
126,Missouri State,-18.7,2026,25.6,34.8,77.0,118.0
127,Akron,-19.5,2026,17.2,29.3,123.0,87.0
128,Kent State,-20.1,2026,17.0,34.9,125.0,120.0
129,UTEP,-20.5,2026,20.2,36.3,111.0,127.0
130,Sacramento State,-22.7,2026,,,,
131,Southern Miss,-23.3,2026,27.0,32.8,69.0,103.0
132,Louisiana-Monroe,-24.3,2026,16.1,35.7,127.0,123.0
133,Georgia State,-25.1,2026,18.6,41.1,116.0,134.0
134,Ball State,-25.2,2026,13.4,34.4,134.0,115.0
135,Middle Tennessee,-26.0,2026,20.4,37.0,110.0,128.0
136,Sam Houston,-26.3,2026,15.3,41.8,129.0,135.0
137,UMass,-30.9,2026,7.8,42.8,136.0,136.0
138,Charlotte,-32.4,2026,14.5,39.8,132.0,132.0
