ranking,team,sp_plus
1,Ohio State,31.8
2,Oregon,28.3
3,Notre Dame,25.8
4,Georgia,25.5
5,Indiana,24.5
6,Texas,23.7
7,Texas Tech,23.1
8,Miami,21.0
9,Texas A&M,20.3
10,LSU,20.2
11,Alabama,18.2
12,Oklahoma,17.2
13,USC,16.8
14,Michigan,16.1
15,Tennessee,16.0
16,Ole Miss,15.9
17,Penn State,15.7
18,BYU,15.5
19,Florida,14.9
20,Missouri,14.8
21,Washington,14.5
22,Iowa,13.6
23,Clemson,12.8
24,South Carolina,12.1
25,Utah,11.9
26,Auburn,11.2
27,Louisville,11.0
28,SMU,10.9
29,Kansas State,10.4
30,Arizona,10.2
31,Vanderbilt,10.0
32,Virginia Tech,9.4
33,Illinois,9.3
34,TCU,9.1
35,Florida State,8.8
36,Houston,8.2
37,Nebraska,7.7
38,Oklahoma State,7.1
39,Boise State,6.8
40,Virginia,6.6
41,Pittsburgh,6.5
42,Arizona State,6.4
43,Georgia Tech,6.0
44,Duke,5.7
45,Minnesota,5.2
46,UCLA,5.1
47,Arkansas,5.0
48,NC State,4.9
49,Northwestern,4.6
50,Cincinnati,4.5
51,Baylor,4.5
52,Mississippi State,3.9
53,Kentucky,3.8
54,North Carolina,3.8
55,Maryland,3.8
56,California,3.7
57,Kansas,3.7
58,Wake Forest,3.6
59,UNLV,2.8
60,UCF,2.3
61,Wisconsin,1.8
62,Rutgers,1.8
63,Navy,1.1
64,Iowa State,1.0
65,Colorado,0.9
66,West Virginia,0.8
67,Michigan State,0.4
68,New Mexico,-0.5
69,Syracuse,-0.7
70,Memphis,-1.1
71,San Diego State,-1.3
72,North Dakota State,-1.4
73,UTSA,-1.5
74,Boston College,-1.5
75,Stanford,-1.9
76,East Carolina,-2.0
77,James Madison,-2.1
78,Fresno State,-2.3
79,Air Force,-2.4
80,South Florida,-2.8
81,Miami (OH),-2.9
82,Purdue,-2.9
83,Army,-3.0
84,Hawaii,-3.9
85,Washington State,-5.3
86,Western Kentucky,-5.3
87,Tulane,-5.5
88,Old Dominion,-5.8
89,Texas State,-5.9
90,Troy,-6.0
91,Oregon State,-6.3
92,Marshall,-6.4
93,Liberty,-6.4
94,Florida Atlantic,-7.1
95,Western Michigan,-7.2
96,Tulsa,-7.6
97,Utah State,-7.7
98,Jacksonville State,-7.7
99,Colorado State,-8.3
100,Louisiana Tech,-8.3
101,Arkansas State,-8.5
102,Temple,-8.7
103,Georgia Southern,-8.9
104,Louisiana,-9.1
105,Kennesaw State,-9.3
106,Wyoming,-9.6
107,UConn,-11.2
108,Toledo,-11.5
109,North Texas,-11.8
110,Buffalo,-11.9
111,Appalachian State,-12.1
112,Nevada,-12.2
113,Central Michigan,-12.4
114,Delaware,-13.0
115,Bowling Green,-13.3
116,South Alabama,-13.3
117,Ohio,-13.6
118,Florida International,-13.7
119,Coastal Carolina,-13.8
120,Rice,-14.7
121,Eastern Michigan,-15.0
122,San José State,-15.5
123,New Mexico State,-16.4
124,UAB,-18.1
125,Northern Illinois,-18.2
126,Missouri State,-18.7
127,Akron,-19.5
128,Kent State,-20.1
129,UTEP,-20.5
130,Sacramento State,-22.7
131,Southern Miss,-23.3
132,Louisiana-Monroe,-24.3
133,Georgia State,-25.1
134,Ball State,-25.2
135,Middle Tennessee,-26.0
136,Sam Houston,-26.3
137,UMass,-30.9
138,Charlotte,-32.4
