week,homeTeam,awayTeam,home_score,away_score,model_spread,vegas_spread,edge_spread,model_total,vegas_total,edge_total,actual_margin,actual_total,confidence,grade,bet_spread,bet_total,won_spread,won_total
1,Alabama,East Carolina,48,10,-23.8,-28.0,4.2,54.2,52.5,1.7,38.0,58.0,0.8,C,Away,,False,
1,Arkansas,North Alabama,31,14,-28.0,-40.5,12.5,58.7,63.333333333333336,-4.6,17.0,45.0,0.7,A+,Away,Under,True,True
1,Auburn,Baylor,17,16,-6.1,-6.5,0.4,50.5,58.5,-8.0,1.0,33.0,0.8,A,,Under,,True
1,Florida,Florida Atlantic,66,21,-26.8,-26.166666666666668,-0.6,55.0,59.5,-4.5,45.0,87.0,0.8,C,,Under,,False
1,Georgia,Tennessee State,63,3,-56.0,-49.333333333333336,-6.7,61.7,55.333333333333336,6.4,60.0,66.0,0.57,C,Home,Over,True,True
1,Kentucky,Youngstown State,45,13,-20.3,-22.333333333333332,2.0,55.6,61.833333333333336,-6.2,32.0,58.0,0.67,C,,Under,,True
1,LSU,Clemson,51,10,-15.5,-10.0,-5.5,47.2,49.0,-1.8,41.0,61.0,0.8,C,Home,,True,
1,Ole Miss,Louisville,41,38,-4.1,-6.5,2.4,59.8,55.0,4.8,3.0,79.0,0.8,C,,Over,,True
1,Mississippi State,UL Monroe,62,13,-28.4,-28.5,0.1,55.0,54.666666666666664,0.3,49.0,75.0,0.8,,,,,
1,Missouri,Arkansas-Pine Bluff,54,14,-43.0,-55.5,12.5,58.6,62.5,-3.9,40.0,68.0,0.64,A+,Away,Under,True,False
1,Oklahoma,UTEP,51,0,-33.8,-40.666666666666664,6.9,55.0,51.333333333333336,3.7,51.0,51.0,0.8,B,Away,Over,False,False
1,South Carolina,Kent State,57,0,-32.9,-35.833333333333336,2.9,55.0,53.166666666666664,1.8,57.0,57.0,0.8,,,,,
1,Tennessee,Furman,56,9,-41.7,-49.333333333333336,7.6,58.6,66.5,-7.9,47.0,65.0,0.64,B,Away,Under,True,True
1,Texas,Texas State,59,7,-28.4,-29.5,1.1,56.8,60.666666666666664,-3.9,52.0,66.0,0.8,C,,Under,,False
1,Texas A&M,Missouri State,50,0,-33.8,-39.166666666666664,5.4,55.0,53.5,1.5,50.0,50.0,0.8,C,Away,,False,
1,Vanderbilt,Austin Peay,28,9,-21.7,-29.0,7.3,58.6,58.0,0.6,19.0,37.0,0.64,B,Away,,True,
2,Utah,Arkansas,43,10,-5.6,-12.833333333333334,7.2,66.0,55.5,10.5,33.0,53.0,0.8,A+,Away,Over,False,False
2,Auburn,Southern Miss,43,8,-20.9,-32.666666666666664,11.8,55.0,56.666666666666664,-1.7,35.0,51.0,0.8,A+,Away,,False,
2,Florida,Campbell,52,3,-37.3,-51.5,14.2,58.6,66.66666666666667,-8.1,49.0,55.0,0.64,A+,Away,Under,True,True
2,Georgia,Western Kentucky,70,20,-28.4,-40.333333333333336,11.9,55.0,55.666666666666664,-0.7,50.0,90.0,0.8,A+,Away,,False,
2,Kentucky,Alabama,17,45,8.9,8.666666666666666,0.2,43.4,47.0,-3.6,-28.0,62.0,0.8,,,Under,,False
2,Ole Miss,Charlotte,41,9,-27.6,-44.5,16.9,55.0,59.5,-4.5,32.0,50.0,0.8,A+,Away,Under,True,True
2,Minnesota,Mississippi State,13,38,-2.5,-0.3333333333333333,-2.2,50.6,53.833333333333336,-3.2,-25.0,51.0,0.7,,,Under,,True
2,Kansas,Missouri,21,38,5.2,4.0,1.2,52.2,51.666666666666664,0.5,-17.0,59.0,0.8,,,,,
2,Michigan,Oklahoma,17,10,-1.4,5.166666666666667,-6.6,43.4,43.5,-0.1,7.0,27.0,0.8,B,Home,,True,
2,South Carolina,Towson,45,9,-36.7,-44.5,7.8,58.6,57.5,1.1,36.0,54.0,0.64,B,Away,,True,
2,Georgia Tech,Tennessee,24,45,4.9,12.5,-7.6,62.4,55.5,6.9,-21.0,69.0,0.8,A,Home,Over,False,True
2,Texas,Ohio State,24,23,1.1,-2.3333333333333335,3.4,50.2,50.666666666666664,-0.5,1.0,47.0,0.8,,Away,,True,
2,Texas A&M,Arizona State,48,20,-14.2,-15.0,0.8,52.0,51.5,0.5,28.0,68.0,0.8,,,,,
2,Vanderbilt,Delaware,35,26,-15.6,-20.666666666666668,5.1,59.3,54.5,4.8,9.0,61.0,0.8,C,Away,Over,True,True
1,TCU,North Carolina,10,15,-2.5,-7.5,5.0,43.1,46.333333333333336,-3.2,-5.0,25.0,0.8,C,Away,Under,True,True
